name,description,score,m_score,price
iMac (21.5-inch Mid 2011),Intel Core i5-2400S @ 2.5 GHz (4 cores),638,1830,0
MacBook Pro (17-inch Late 2011),Intel Core i7-2760QM @ 2.4 GHz (4 cores),639,2314,0
Mac Pro (Mid 2010),Intel Xeon W3680 @ 3.3 GHz (6 cores),641,3369,0
MacBook Pro (13-inch Retina Late 2013),Intel Core i5-4258U @ 2.4 GHz (2 cores),645,1400,0
MacBook Pro (15-inch Late 2011),Intel Core i7-2860QM @ 2.5 GHz (4 cores),651,2319,0
MacBook Pro (15-inch Mid 2012),Intel Core i7-3615QM @ 2.3 GHz (4 cores),656,2599,2044.65
MacBook Pro (13-inch Retina Early 2013),Intel Core i7-3540M @ 3.0 GHz (2 cores),667,1424,0
MacBook (Early 2016),Intel Core m7-6Y75 @ 1.3 GHz (2 cores),667,1449,0
MacBook Air (Mid 2017),Intel Core i5-5350U @ 1.8 GHz (2 cores),667,1374,0
iMac (27-inch Mid 2011),Intel Core i5-2400 @ 3.1 GHz (4 cores),668,2144,0
MacBook Pro (Retina),Intel Core i7-3615QM @ 2.3 GHz (4 cores),668,2599,0
Mac mini (Late 2012),Intel Core i7-3615QM @ 2.3 GHz (4 cores),668,2638,0
iMac (21.5-inch Late 2012),Intel Core i5-3335S @ 2.7 GHz (4 cores),670,2114,0
MacBook Pro (17-inch Late 2011),Intel Core i7-2860QM @ 2.5 GHz (4 cores),672,2455,0
MacBook Pro (13-inch Mid 2012),Intel Core i7-3520M @ 2.9 GHz (2 cores),672,1467,1704
MacBook Pro (13-inch Retina),Intel Core i7-3520M @ 2.9 GHz (2 cores),673,1461,2158.3
MacBook Pro (15-inch Retina Early 2013),Intel Core i7-3635QM @ 2.4 GHz (4 cores),682,2672,0
MacBook Pro (13-inch Retina Late 2013),Intel Core i5-4288U @ 2.6 GHz (2 cores),684,1472,0
MacBook Pro (13-inch Retina Mid 2014),Intel Core i5-4278U @ 2.6 GHz (2 cores),692,1490,0
iMac (21.5-inch Mid 2011),Intel Core i5-2500S @ 2.7 GHz (4 cores),694,1906,0
Mac mini (Late 2014),Intel Core i5-4278U @ 2.6 GHz (2 cores),694,1499,0
MacBook Pro (13-inch Late 2016),Intel Core i5-6360U @ 2.0 GHz (2 cores),699,1608,0
MacBook (Mid 2017),Intel Core i5-7Y54 @ 1.3 GHz (2 cores),699,1523,0
iMac (27-inch Mid 2011),Intel Core i5-2500S @ 2.7 GHz (4 cores),707,1946,0
MacBook (Mid 2017),Intel Core m3-7Y32 @ 1.2 GHz (2 cores),707,1534,0
MacBook Pro (Retina),Intel Core i7-3720QM @ 2.6 GHz (4 cores),715,2700,0
MacBook Pro (15-inch Mid 2012),Intel Core i7-3720QM @ 2.6 GHz (4 cores),719,2799,0
MacBook Pro (13-inch Retina Early 2015),Intel Core i5-5257U @ 2.7 GHz (2 cores),721,1549,0
MacBook Air (13-inch Mid 2013),Intel Core i7-4650U @ 1.7 GHz (2 cores),723,1420,0
MacBook Pro (15-inch Retina Early 2013),Intel Core i7-3740QM @ 2.7 GHz (4 cores),724,2714,0
MacBook Pro (13-inch Retina Mid 2014),Intel Core i5-4308U @ 2.8 GHz (2 cores),724,1532,0
MacBook Air (11-inch Mid 2013),Intel Core i7-4650U @ 1.7 GHz (2 cores),726,1431,0
Mac Pro (Late 2013),Intel Xeon E5-2697 v2 @ 2.7 GHz (12 cores),727,7056,0
Mac mini (Late 2012),Intel Core i7-3720QM @ 2.6 GHz (4 cores),728,2819,0
iMac (21.5-inch Mid 2011),Intel Core i7-2600S @ 2.8 GHz (4 cores),736,2398,0
MacBook Pro (Retina),Intel Core i7-3820QM @ 2.7 GHz (4 cores),737,2721,0
MacBook Air (13-inch Early 2015),Intel Core i7-5650U @ 2.2 GHz (2 cores),741,1540,0
MacBook Pro (15-inch Retina Early 2013),Intel Core i7-3840QM @ 2.8 GHz (4 cores),742,2745,0
MacBook Pro (13-inch Retina Late 2013),Intel Core i7-4558U @ 2.8 GHz (2 cores),742,1582,0
iMac (27-inch Mid 2011),Intel Core i7-2600 @ 3.4 GHz (4 cores),743,2729,0
MacBook Pro (13-inch Late 2016),Intel Core i5-6267U @ 2.9 GHz (2 cores),743,1738,0
